,auc_avg,auc_one,epoch,f1_avg_0.35,f1_avg_0.36,f1_avg_0.37,f1_avg_0.38,f1_avg_0.39,f1_avg_best,f1_one_0.35,f1_one_0.36,f1_one_0.37,f1_one_0.38,f1_one_0.39,fold,model_id,mu,seed,th_avg_best
0,0.9609862288705469,0.9609862288705469,1,0.6535720493655484,0.6544091814029747,0.6548599182609726,0.6531394026455976,0.6531057028695967,0.6553062257465834,0.6535720493655484,0.6544091814029747,0.6548599182609726,0.6531394026455976,0.6531057028695967,0,1,0.9,100,0.325
1,0.9670859201783263,0.9670859201783263,2,0.6806479113384485,0.6811511121302454,0.6819208712274808,0.6819032031797989,0.6828664110881746,0.6838156484458735,0.6806479113384485,0.6811511121302454,0.6819208712274808,0.6819032031797989,0.6828664110881746,0,1,0.9,100,0.4
2,0.9697771142654783,0.9697771142654783,3,0.692662378322992,0.6936854190585533,0.6938728189670165,0.6937510960425557,0.6936873156342184,0.6939615736505033,0.692662378322992,0.6936854190585533,0.6938728189670165,0.6937510960425557,0.6936873156342184,0,1,0.9,100,0.355
3,0.9708744680816426,0.9708744680816426,4,0.6941557715945916,0.6942531331150502,0.6943447804544678,0.6933180384284485,0.6945199930559574,0.6974178688325857,0.6941557715945916,0.6942531331150502,0.6943447804544678,0.6933180384284485,0.6945199930559574,0,1,0.9,100,0.45
4,0.9712806119711284,0.9712806119711284,5,0.6957399103139014,0.6972228494016708,0.6967697907188354,0.6968932706637624,0.6966928769657724,0.6979006049104495,0.6957399103139014,0.6972228494016708,0.6967697907188354,0.6968932706637624,0.6966928769657724,0,1,0.9,100,0.42000000000000004
5,0.9713314107597604,0.9713314107597604,6,0.6981924002462365,0.6978632237695214,0.6981260647359456,0.6976212259835316,0.6976422436156108,0.6989052163222295,0.6981924002462365,0.6978632237695214,0.6981260647359456,0.6976212259835316,0.6976422436156108,0,1,0.9,100,0.41000000000000003
6,0.9707172943068073,0.9707172943068073,7,0.6952896100969124,0.6955929896205547,0.6970147546608716,0.6973850938831933,0.6969134369923417,0.6973850938831933,0.6952896100969124,0.6955929896205547,0.6970147546608716,0.6973850938831933,0.6969134369923417,0,1,0.9,100,0.38
7,0.9701424949043563,0.9701424949043563,8,0.6945190156599552,0.6948837732875557,0.6941576857629042,0.6941015089163237,0.6930476355048673,0.6949542571701185,0.6945190156599552,0.6948837732875557,0.6941576857629042,0.6941015089163237,0.6930476355048673,0,1,0.9,100,0.355
8,0.9690555381762431,0.9690555381762431,9,0.6906318082788672,0.689922032919434,0.6899598860531365,0.68923509429542,0.688406651727798,0.6912597409878343,0.6906318082788672,0.689922032919434,0.6899598860531365,0.68923509429542,0.688406651727798,0,1,0.9,100,0.32
9,0.9678334733339868,0.9678334733339868,10,0.6891342242882046,0.6895986895986896,0.6895538181176885,0.6891611910258687,0.6878054595303373,0.6895986895986896,0.6891342242882046,0.6895986895986896,0.6895538181176885,0.6891611910258687,0.6878054595303373,0,1,0.9,100,0.36
10,0.9614626982798417,0.9606870669269455,1,0.6622578025292957,0.6611531468121298,0.6605352162819677,0.6602279544091183,0.6599915043388556,0.6622578025292957,0.6607402242751728,0.6609950715794414,0.6604154302670624,0.6588334032731851,0.6565320089637212,0,2,0.9,100,0.35
11,0.9675786048033325,0.9668744083632733,2,0.6865842490842492,0.6866189045528079,0.6870736400209899,0.6868568068215232,0.6855957320687611,0.6871300916792387,0.6840563056592932,0.6842898550724638,0.6840718843294502,0.6829642751697668,0.6832490330258851,0,2,0.9,100,0.365
12,0.970460020660544,0.9695225325510457,3,0.6942794092683754,0.694703159819439,0.6954267941481397,0.697117619711762,0.696886178385035,0.6977294228949857,0.6921692169216922,0.6931972789115647,0.6938146096293335,0.6942682504901396,0.6934620753838995,0,2,0.9,100,0.4
13,0.9718060703990902,0.9705870842865985,4,0.7009489175521337,0.701432664756447,0.700323849178811,0.6996618864404803,0.6997355274757567,0.7018945446245148,0.6966538040661177,0.6962275101567034,0.695086959067752,0.6944805578536816,0.6955019362526065,0,2,0.9,100,0.355
14,0.9724434957196699,0.9709196658746135,5,0.7017919531161951,0.7018361662213632,0.7020216482446595,0.7032205933279464,0.7033005413586356,0.7044548651817116,0.6967291561110172,0.696455911539552,0.695910780669145,0.6966395757680557,0.6973447213991052,0,2,0.9,100,0.4
15,0.9728105563542715,0.9708973583389734,6,0.7032481151862139,0.7033898305084746,0.7038790117755716,0.7026523964634714,0.7029848120565297,0.7038790117755716,0.6945223513250529,0.6949201406907687,0.6955914854018844,0.6952799765464673,0.6953286482017362,0,2,0.9,100,0.37
16,0.9725854631851525,0.970093160494323,7,0.7026843357118585,0.7035916176554561,0.7029235727440147,0.702925470164848,0.7024749868351764,0.7035916176554561,0.69055963821368,0.6923690205011389,0.6935215470247318,0.6930910774215948,0.6932572493303831,0,2,0.9,100,0.36
17,0.972249818016117,0.9691300346502677,8,0.7015220958524303,0.7018704379562044,0.7035054394750475,0.7027716571958714,0.7021537383995797,0.703686582688085,0.6892430278884462,0.6896275071633238,0.6896710905943451,0.6888540396120114,0.6884172367420919,0,2,0.9,100,0.375
18,0.9717316415894558,0.9679412011030402,9,0.7010178848697453,0.7022608695652174,0.7022918615528532,0.7022253620628753,0.7014881128831446,0.7022918615528532,0.685592537141541,0.6863370239406411,0.6858809801633605,0.6851775755796888,0.6853427895981088,0,2,0.9,100,0.37
19,0.9708526185430332,0.9663636967327589,10,0.7000580383052815,0.6998246639392167,0.7001414427157001,0.6993952330131624,0.6990442054958185,0.7001820637810537,0.6795599305153446,0.6796014682747771,0.6803845702896002,0.6795280235988201,0.6796081923419411,0,2,0.9,100,0.365
20,0.9617063360365602,0.9606386838580432,1,0.6616146895948702,0.6603017444601603,0.6597544988678347,0.6582660074761848,0.6592628752745912,0.6623639016724661,0.6563565800305774,0.656576448243115,0.6565929123943155,0.6568627450980392,0.657450452654759,0,3,0.9,100,0.315
21,0.9676974845728522,0.9665417671901981,2,0.6877361731363792,0.6884506390607831,0.6871866620030314,0.6866093510776117,0.6874405328258801,0.6884506390607831,0.6828711628437749,0.6829099706238121,0.6837905527404041,0.6829612220916569,0.6813356265939149,0,3,0.9,100,0.36
