auc_avg,auc_one,epoch,f1_avg,f1_one,f1_ub,n_model,th_avg,th_one,th_ub,time
0.969701252589573,0.969701252589573,1,0.6939935540580134,0.6939935540580134,0.6939935540580134,1,0.38750000000000007,0.38750000000000007,0.38750000000000007,2802.628087282181
0.970994378271551,0.970994378271551,2,0.6974662162162162,0.6974662162162162,0.6992725041633798,1,0.325,0.325,0.375,2802.4325058460236
0.9692283534506859,0.9692283534506859,3,0.6917536219976448,0.6917536219976448,0.6960588999566912,1,0.2625,0.2625,0.35,2802.9461822509766
0.9703426053143587,0.9694786858277334,1,0.6975604129419228,0.6923496170505724,0.6925400883104811,2,0.325,0.275,0.2875,2803.5866270065308
0.9718893684641207,0.9711279625884159,2,0.7021727609962904,0.6994038004052981,0.6994038004052981,2,0.375,0.36250000000000004,0.36250000000000004,2803.3856222629547
0.9705771580639384,0.9697338322428289,3,0.6984326018808776,0.695946336668016,0.695946336668016,2,0.325,0.35,0.35,2802.819027900696
0.9706767527524345,0.9694083106610959,1,0.6982943702290076,0.6927332232745387,0.6927332232745387,3,0.325,0.225,0.225,2803.570338487625
0.9722982868735975,0.9712984703524006,2,0.703299249775512,0.6989761492651158,0.7004960374023605,3,0.35,0.36250000000000004,0.325,2805.259129524231
0.9710912119639241,0.9697728185785974,3,0.7008163734621135,0.6944000946129738,0.6963063907106153,3,0.3375,0.38750000000000007,0.3125,2809.1134243011475
